id,title,release_date,vote_average,vote_count,popularity,original_language,genre_ids,adult,video
11775,Intolerable Cruelty,2003-10-10,5.948,1579,2.083,en,"35,10749,80",False,False
8973,Lord of Illusions,1995-08-25,5.946,359,6.3797,en,"27,14,18",False,False
2321,Married to the Mob,1988-08-19,5.9,305,1.0094,en,"35,80,10749",False,False
590869,Hammamet,2020-01-09,5.945,408,3.7897,it,"18,36",False,False
445954,Acts of Vengeance,2017-10-27,5.945,589,7.7993,en,"53,28,18",False,False
168055,Love Is in the Air,2013-04-02,5.95,428,1.8651,fr,"35,10749",False,False
87101,Terminator Genisys,2015-06-23,5.945,8722,8.1884,en,"878,28,53,12",False,False
34480,The Descent: Part 2,2009-10-14,5.9,1241,2.8574,en,"12,27,53",False,False
13477,When in Rome,2010-01-29,5.945,1244,6.8464,en,"35,14,10749",False,False
11157,She-Devil,1989-12-08,5.9,415,9.7971,en,35,False,False
640923,Kidz,2020-01-23,5.9,382,1.5315,it,35,False,False
464504,A Madea Family Funeral,2019-03-01,5.9,489,2.0415,en,35,False,False
228973,Backcountry,2015-03-20,5.944,701,3.2246,en,"27,53,18",False,False
464504,A Madea Family Funeral,2019-03-01,5.9,489,2.0415,en,35,False,False
228973,Backcountry,2015-03-20,5.944,701,3.2246,en,"27,53,18",False,False
24056,The Tournament,2009-05-01,5.944,650,11.0797,en,"27,28,53",False,False
970450,Werewolves,2024-12-04,5.943,447,9.3412,en,"28,27,53",False,False
174323,G.B.F.,2014-01-17,5.943,398,0.0677,en,"35,18",False,False
14248,Igor,2008-09-19,5.9,575,2.9917,en,"16,35,10751,14,27",False,False
9448,The Big Hit,1998-04-24,5.942,453,5.3933,en,"28,12,35,80,53",False,False
13018,Deception,2008-04-24,5.941,690,10.4492,en,"53,9648",False,False
11011,Ri¢hie Ri¢h,1994-12-19,5.941,2348,4.5749,en,"35,10751",False,False
395,AVP: Alien vs. Predator,2004-08-12,5.9,4735,9.1468,en,"12,878,28,27",False,False
1125311,Imaginary,2024-03-06,5.9,639,13.4971,en,"27,9648,53",False,False
523936,Meander,2021-07-01,5.94,443,1.7312,fr,"27,878,18,53",False,False
172533,Drinking Buddies,2013-08-23,5.94,840,1.6196,en,"10749,18,35",False,False
112200,Thanks for Sharing,2013-09-19,5.94,571,1.2865,en,"35,18",False,False
39053,Cyrus,2010-06-18,5.94,431,2.0077,en,"35,18,10749",False,False
19384,Dark Angel,1990-01-26,5.94,340,2.8576,en,"28,53,878,80,27",False,False
12540,Bring It On Again,2004-01-13,5.9,444,0.1054,en,35,False,False
460019,Truth or Dare,2018-04-12,5.939,4142,8.9014,en,"53,27",False,False
448194,Pyewacket,2017-12-08,5.939,330,2.0156,en,"53,27,18",False,False
299687,The 5th Wave,2016-01-14,5.939,5888,3.344,en,"878,12,28",False,False
785752,Intrusion,2021-09-22,5.938,728,5.672,en,"18,9648,53",False,False
565413,The King's Musketeers,2018-12-27,5.9,398,1.6222,it,"12,35",False,False
563907,All You Need is Crime,2019-01-10,5.9,467,0.4496,it,35,False,False
526896,Morbius,2022-03-30,5.9,4629,7.8317,en,"28,878,14",False,False
169219,The Dyatlov Pass Incident,2013-02-27,5.9,699,7.4057,en,"53,9648",False,False
81446,The Baytown Outlaws,2012-08-27,5.938,329,6.2015,en,"28,35,80",False,False
9406,An American Werewolf in Paris,1997-05-29,5.938,722,9.3505,en,"27,35,14",False,False
586592,Come to Daddy,2019-04-25,5.937,567,1.9737,en,"35,27,9648,53",False,False
11674,101 Dalmatians,1996-11-27,5.937,3516,16.7183,en,"10751,35",False,False
9597,Vidocq,2001-09-18,5.9,553,3.4398,fr,"14,28,53,80,878,9648",False,False
584962,Between Two Ferns: The Movie,2019-09-20,5.935,911,1.7935,en,35,False,False
509730,The Queen's Corgi,2019-02-13,5.9,438,1.9913,en,"10751,16,35",False,False
487083,Paradise Hills,2019-08-29,5.937,570,8.2366,en,"14,878,53",False,False
136835,No Good Deed,2014-09-10,5.9,650,3.0594,en,"80,53",False,False
13962,Blank Check,1994-02-11,5.933,514,1.3386,en,"35,10751",False,False
12658,Someone Like You...,2001-03-30,5.935,398,1.9945,en,"35,10749",False,False
829557,365 Days: This Day,2022-04-26,5.934,1781,15.7494,pl,"10749,18",False,False
452507,1922,2017-10-20,5.934,2833,3.1163,en,"27,80,18,9648,53",False,False
291870,Dirty Grandpa,2016-01-20,5.934,4493,4.3618,en,35,False,False
99579,"Farewell, My Queen",2012-03-21,5.9,319,3.0415,fr,"18,36",False,False
452507,1922,2017-10-20,5.934,2833,3.1163,en,"27,80,18,9648,53",False,False
291870,Dirty Grandpa,2016-01-20,5.934,4493,4.3618,en,35,False,False
99579,"Farewell, My Queen",2012-03-21,5.9,319,3.0415,fr,"18,36",False,False
81796,Lockout,2012-04-12,5.934,1907,13.2266,en,"28,53,878",False,False
16061,Tokyo Gore Police,2008-10-04,5.934,343,8.5887,ja,"27,28,878",False,False
11718,Who's Harry Crumb?,1989-02-03,5.934,340,1.1783,en,"35,80,9648",False,False
10136,The Golden Child,1986-12-12,5.9,1131,2.5038,en,"28,12,35",False,False
13962,Blank Check,1994-02-11,5.933,514,1.3386,en,"35,10751",False,False
9825,Lake Placid,1999-07-15,5.933,1198,4.0561,en,"27,35,28,878,53",False,False
1001311,Under Paris,2024-06-04,5.932,1347,4.6366,fr,"28,27",False,False
736500,Retirement Home,2022-02-16,5.931,306,1.5228,fr,35,False,False
470114,24 Hours to Live,2017-10-26,5.9,684,4.6093,en,"28,878,53,9648",False,False
458005,Zoe,2018-07-19,5.9,428,2.7577,en,"878,10749,53",False,False
167032,Curse of Chucky,2013-10-08,5.931,1655,4.4308,en,"27,53",False,False
39386,The Corsican File,2004-10-06,5.931,390,5.1428,fr,35,False,False
354251,Southbound,2015-09-17,5.93,646,2.1853,en,"14,53,27,878",False,False
270487,"Hail, Caesar!",2016-02-05,5.93,3900,14.7318,en,"35,80,18,9648",False,False
68728,Oz the Great and Powerful,2013-03-07,5.93,6668,3.3535,en,"14,12,10751",False,False
11648,Must Love Dogs,2005-07-21,5.9,482,1.9744,en,"10749,35",False,False
460648,Bleeding Steel,2017-12-18,5.929,538,4.6142,zh,"878,28,12,53",False,False
14140,Herbie Goes to Monte Carlo,1977-06-24,5.9,337,2.1187,en,"10749,35,10751,28,12",False,False
10488,Nim's Island,2008-04-03,5.9,1163,2.1328,en,"12,35,10751,14",False,False
9073,Free Willy 2: The Adventure Home,1995-07-19,5.929,603,2.2517,en,"10751,12,18,35",False,False
4923,Zardoz,1974-02-06,5.929,492,2.54,en,"14,28,53,878",False,False
182560,Dark Places,2015-04-08,5.928,1327,1.1089,en,"53,9648,18,80",False,False
9973,Air Buddies,2006-12-12,5.928,340,3.2569,en,"12,35,10751",False,False
10985,The New Guy,2002-05-10,5.926,626,3.1368,en,35,False,False
6073,The Mexican,2001-03-01,5.926,1529,3.0708,en,"28,35,80,10749",False,False
2018,The Wedding Planner,2001-01-26,5.926,1764,2.5264,en,"35,10749",False,False
503619,The Package,2018-08-10,5.925,1227,1.3765,en,35,False,False
301502,Blonde,2022-09-16,5.9,1458,3.188,en,18,False,False
10357,Volcano,1997-04-25,5.9,1603,3.0363,en,"878,28,18,53",False,False
1062215,Afraid,2024-08-28,5.924,448,5.0275,en,"27,878,53",False,False
328720,Ma che bella sorpresa,2015-03-11,5.924,408,0.5862,it,35,False,False
98566,Teenage Mutant Ninja Turtles,2014-08-07,5.923,7016,16.93,en,"878,28,12,35",False,False
87516,Oldboy,2013-11-14,5.924,2047,6.5561,en,"18,53,9648,28",False,False
52067,Cedar Rapids,2011-02-11,5.924,446,10.7982,en,35,False,False
32856,Valentine's Day,2010-02-10,5.924,3104,10.1756,en,"35,10749",False,False
11062,City Hall,1996-02-16,5.9,302,1.3308,en,"18,53",False,False
664574,Silent Night,2021-12-03,5.9,549,3.843,en,"35,878,27",False,False
501395,True History of the Kelly Gang,2019-11-23,5.923,336,1.7161,en,"80,18,37,53",False,False
340676,Personal Shopper,2016-12-14,5.923,1273,14.465,fr,"18,9648,53",False,False
11152,The Ruins,2008-04-02,5.9,1379,2.4073,en,27,False,False
10495,The Karate Kid Part III,1989-06-16,5.9,1749,8.8036,en,"28,10751,18,12",False,False
10366,Universal Soldier: The Return,1999-08-05,5.922,1305,3.0827,en,"28,878",False,False
550201,The Pool,2018-09-27,5.921,354,2.0635,th,"53,27",False,False
151960,Planes,2013-08-09,5.9,1764,3.9149,en,"16,10751,12,35",False,False
62764,Mirror Mirror,2012-03-15,5.9,3229,16.4759,en,"12,35,10751,14",False,False
9072,Little Man,2006-08-31,5.921,1831,22.5448,en,"35,80",False,False
673593,Mean Girls,2024-01-10,5.92,662,6.1341,en,35,False,False
297761,Suicide Squad,2016-08-03,5.92,21693,7.2412,en,"28,12,14",False,False
324542,Sleepless,2017-01-12,5.919,1292,1.6011,en,"28,80,53",False,False
157099,Better Living Through Chemistry,2014-03-14,5.919,307,0.9368,en,"18,35",False,False
9923,Domino,2005-10-14,5.919,1248,11.1926,en,"28,80,18,53",False,False
602734,Spiral: From the Book of Saw,2021-05-12,5.918,2180,3.1543,en,"27,9648",False,False
158907,Breathe In,2013-01-18,5.918,320,10.4321,en,18,False,False
64639,Straw Dogs,2011-09-16,5.918,601,17.063,en,"18,53",False,False
2103,Solaris,2002-11-27,5.918,1377,8.6533,en,"18,878,9648",False,False
805320,Bird Box Barcelona,2023-07-14,5.917,775,2.8787,es,"27,878,53",False,False
311667,Manhattan Night,2016-05-20,5.917,402,2.5134,en,"18,9648,53",False,False
18823,Clash of the Titans,2010-03-26,5.9,6497,5.6341,en,"12,14,28",False,False
14648,Podium,2004-02-11,5.917,457,1.7274,fr,"35,10402",False,False
13668,Catch and Release,2006-10-20,5.9,588,2.0361,en,"35,18,10749",False,False
7548,The Libertine,2004-09-16,5.9,469,3.4065,en,"18,10749",False,False
890771,The Black Demon,2023-04-26,5.916,672,2.773,en,"53,27",False,False
617505,Hubie Halloween,2020-10-07,5.915,1720,3.5004,en,"35,9648,27",False,False
423949,Unicorn Store,2017-09-11,5.916,868,1.6188,en,"14,18,35",False,False
399019,The Beguiled,2017-06-23,5.9,2195,3.1691,en,18,False,False
258193,Alien Abduction,2014-04-04,5.916,399,1.5933,en,"27,878,53",False,False
16558,Duplicity,2009-03-18,5.916,835,3.6257,en,"10749,35,80",False,False
9275,Death to Smoochy,2002-03-29,5.9,413,2.0425,en,"35,80,18,53",False,False
74998,Seeking Justice,2011-09-02,5.9,1039,13.2993,en,"28,18,53",False,False
10708,Daddy Day Care,2003-05-09,5.915,2190,3.6777,en,"35,10751",False,False
10030,Good Luck Chuck,2007-09-21,5.9,1588,3.1384,en,"35,10749",False,False
7091,Vampire's Kiss,1989-06-02,5.915,462,2.0347,en,"35,27,80,14",False,False
1970,The Grudge,2004-10-22,5.915,3077,14.5903,en,"27,9648,53",False,False
1043565,Mindcage,2022-12-16,5.914,395,3.8986,en,"9648,53,80",False,False
476764,The Front Runner,2018-11-06,5.9,370,1.666,en,"18,36",False,False
258489,The Legend of Tarzan,2016-06-29,5.9,6361,4.94,en,"14,28,12",False,False
9895,Man of the Year,2006-10-09,5.914,478,2.0537,en,"35,10749,53",False,False
505707,Waiting for the Barbarians,2019-09-06,5.913,397,2.435,en,"18,36",False,False
375588,Robin Hood,2018-11-03,5.913,3065,5.5972,en,"12,28,53,14",False,False
146223,Closed Circuit,2013-08-28,5.913,480,16.602,en,"9648,18,80,53",False,False
513409,Earthquake Bird,2019-11-01,5.912,454,14.5,en,"18,9648,10749,53",False,False
174675,The Machine,2013-04-25,5.9,833,2.9075,en,"878,53",False,False
12517,Calvaire,2005-03-09,5.912,339,2.2232,fr,27,False,False
2022,Mr. Deeds,2002-06-28,5.912,2422,4.6315,en,"35,10749",False,False
346672,Underworld: Blood Wars,2016-11-24,5.911,3820,5.044,en,"14,28,53,878,27",False,False
9907,Barnyard,2006-08-04,5.9,1146,4.3917,en,"16,35,10751",False,False
9431,Bordello of Blood,1996-08-16,5.911,398,1.9672,en,"27,35",False,False
664341,Eileen,2023-12-01,5.91,332,3.9635,en,"53,80",False,False
418437,Unforgettable,2017-03-06,5.91,674,1.8932,en,"18,53",False,False
306952,Naomi and Ely's No Kiss List,2015-09-18,5.91,1073,1.987,en,"10749,35",False,False
38031,You Will Meet a Tall Dark Stranger,2010-09-22,5.91,881,2.2876,en,"35,18,10749",False,False
2310,Beowulf,2007-11-05,5.91,2947,4.2352,en,"12,28,16",False,False
1030987,Sympathy for the Devil,2023-07-20,5.909,302,2.532,en,"53,28",False,False
18476,Horsemen,2009-02-06,5.909,581,2.3003,en,"80,18,27,9648,53",False,False
7364,Sahara,2005-04-06,5.909,1567,11.6381,en,"28,12,35,18,9648",False,False
800937,Senior Year,2022-05-11,5.908,889,4.2353,en,35,False,False
27740,A Return to Salem's Lot,1987-09-11,5.9,309,0.9214,en,"27,35",False,False
11309,Hardware,1990-09-14,5.908,323,2.1654,en,"27,878,53",False,False
1995,Lara Croft: Tomb Raider,2001-06-15,5.908,6323,4.8522,en,"12,28,14",False,False
146381,Justin and the Knights of Valour,2013-08-09,5.9,321,1.115,en,"16,12",False,False
11968,Into the Blue,2005-09-30,5.9,1568,3.2179,en,"28,53,12,80",False,False
2084,Birthday Girl,2001-09-06,5.907,420,1.4122,en,"35,80,53",False,False
1077280,Die Hart,2023-02-22,5.906,484,4.0515,en,"35,28,53",False,False
439079,The Nun,2018-09-05,5.906,7011,9.9428,en,27,False,False
45649,Rubber,2010-11-09,5.906,1079,1.9153,fr,"35,18,14,27,9648",False,False
968739,Dangerous Liaisons,2022-07-08,5.904,311,2.7545,fr,"18,10749",False,False
39285,Beauty & the Briefcase,2010-07-20,5.904,416,1.8057,en,"10749,35,10770",False,False
36691,Solitary Man,2009-09-07,5.904,337,12.9702,en,"35,18,10749",False,False
17134,12 Rounds,2009-03-19,5.904,819,2.7266,en,"28,53,80",False,False
290555,Wolves,2014-08-28,5.903,318,2.8525,en,"27,28",False,False
501979,Bill & Ted Face the Music,2020-08-27,5.902,1018,1.5316,en,"35,878,12",False,False
353569,Table 19,2017-03-03,5.9,991,0.8488,en,"35,18",False,False
238603,Earth to Echo,2014-06-14,5.902,599,1.2501,en,"10751,12,878",False,False
72571,Paranormal Activity 3,2011-10-19,5.902,2306,6.9243,en,"27,9648",False,False
740925,No One Gets Out Alive,2021-09-29,5.901,695,2.6749,en,"27,9648,53",False,False
515454,Come True,2020-09-24,5.901,302,1.4542,en,"878,27",False,False
9005,The Ice Harvest,2005-11-23,5.901,322,1.8165,en,"80,35,18,53",False,False
5137,Sky Captain and the World of Tomorrow,2004-09-17,5.901,1317,2.5575,en,"9648,28,53,878,12",False,False
479455,Men in Black: International,2019-06-12,5.9,5162,3.8,en,"35,878,28,12",False,False
11187,Child's Play 3,1991-08-30,5.9,1687,5.0998,en,"27,53",False,False
9982,Chicken Little,2005-11-04,5.9,4049,9.2666,en,"16,10751,35",False,False
9030,The Eye,2008-02-01,5.9,1109,4.1231,en,"18,27,53",False,False
2749,15 Minutes,2001-03-01,5.9,768,2.1823,en,"28,80,53",False,False
334527,Criminal Activities,2015-11-20,5.899,312,0.8405,en,"53,80,18",False,False
270302,The Riot Club,2014-09-19,5.899,999,1.6856,en,18,False,False
86828,Absolutely Anything,2015-02-13,5.899,1551,9.5412,en,"35,878",False,False
51994,The Deep Blue Sea,2011-11-25,5.899,303,1.3548,en,"18,10749",False,False
9767,The Break-Up,2006-06-01,5.9,2760,10.9215,en,"10749,35",False,False
34069,Cargo,2009-09-24,5.898,408,2.2623,de,"53,9648,878",False,False
895744,Studio 666,2022-02-24,5.897,326,2.1575,en,"27,35,10402",False,False
89492,This Is 40,2012-12-20,5.9,2255,3.0602,en,35,False,False
22894,Legion,2010-01-21,5.897,2750,5.1051,en,"27,28,14",False,False
13006,Split Second,1992-05-01,5.9,336,1.1865,en,"878,28,80,53,27",False,False
284289,Beyond the Reach,2014-09-06,5.896,381,10.4306,en,53,False,False
45772,Gnomeo & Juliet,2011-01-13,5.9,2031,3.5097,en,"16,10751",False,False
10640,Futureworld,1976-08-13,5.896,342,3.8463,en,"28,12,878,53",False,False
9728,Friday the 13th Part III,1982-08-13,5.9,1536,3.2416,en,"27,53",False,False
38541,The Divide,2012-01-13,5.895,701,1.3482,en,"27,878,53",False,False
49010,Hobo with a Shotgun,2011-05-06,5.9,659,1.9891,en,"80,28,53",False,False
6439,Racing Stripes,2005-01-06,5.894,641,4.0053,en,"35,10751",False,False
27414,"Silent Night, Deadly Night",1984-11-09,5.893,397,1.4228,en,"53,27",False,False
460790,Starship Troopers: Traitor of Mars,2017-08-21,5.9,310,1.6908,en,"16,28,878",False,False
457962,Shimmer Lake,2017-06-09,5.892,449,2.8671,en,"53,80,18,9648",False,False
362637,Opposites Attract,2015-10-08,5.9,309,5.0001,it,"10749,35",False,False
10748,St Trinian's,2007-12-21,5.9,484,2.3907,en,35,False,False
671039,Rogue City,2020-10-30,5.891,611,3.7647,fr,"80,53,28,18",False,False
522417,Scorpion King: Book of Souls,2018-10-23,5.891,304,3.7854,en,"28,12,14",False,False
20829,Funny People,2009-07-30,5.9,1362,2.2877,en,"35,18",False,False
9530,RV,2006-04-28,5.891,1744,6.4856,en,"10751,35,10749,18",False,False
661791,The Grandmother,2022-01-28,5.9,468,2.8163,es,"18,27",False,False
254473,Brick Mansions,2014-04-22,5.9,1556,3.0077,en,"28,80,18",False,False
2687,Memoirs of an Invisible Man,1992-02-28,5.89,620,2.1821,en,"878,35,10749,53",False,False
416234,Winchester,2018-02-02,5.889,1789,2.7034,en,"27,53",False,False
241843,Cooties,2014-10-10,5.889,785,2.5471,en,"35,27,28,878,53",False,False
53399,The Solitude of Prime Numbers,2010-09-10,5.889,386,1.5026,it,18,False,False
14873,The Jungle Book 2,2003-02-07,5.889,1168,2.7669,en,"10751,16,12",False,False
496704,Tremors: A Cold Day in Hell,2018-05-01,5.9,437,2.1651,en,"28,12,878",False,False
53399,The Solitude of Prime Numbers,2010-09-10,5.889,386,1.5026,it,18,False,False
14873,The Jungle Book 2,2003-02-07,5.889,1168,2.7669,en,"10751,16,12",False,False
496704,Tremors: A Cold Day in Hell,2018-05-01,5.9,437,2.1651,en,"28,12,878",False,False
471507,Destroyer,2018-12-25,5.9,761,2.1637,en,"53,80,18,28",False,False
13059,The Signal,2007-07-13,5.888,317,3.8974,en,"27,878,53",False,False
808023,The Virtuoso,2021-04-30,5.887,408,4.3031,en,"53,80,28",False,False
785516,Stuck Together,2021-10-20,5.887,421,0.4263,fr,35,False,False
147868,The Worst Christmas of My Life,2012-12-22,5.887,529,0.57,it,35,False,False
84200,"For a Good Time, Call...",2012-08-31,5.887,314,2.2579,en,"35,18",False,False
28597,Problem Child 2,1991-07-03,5.886,640,2.6173,en,"35,10751",False,False
9582,A Guy Thing,2003-01-17,5.885,373,2.1338,en,"35,10749",False,False
